timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,batt_1,batt_2,batt_3,note,ppg_1,ppg_2,ppg_3
1753770449.5045004,1122.967,814.3223,813.5165,1334.1025,nan,nan,,,,,,,
1753770449.5083969,9.267399,795.78754,822.7839,168.02197,nan,nan,,,,,,,
1753770449.5122933,1223.6996,809.89014,817.9487,1055.2748,nan,nan,,,,,,,
1753770449.5146894,,,,,,,,,,,354005000.0,301260580.0,1863150.1
1753770449.5161898,51.575092,788.93774,816.7399,0.0,nan,nan,,,,,,,
1753770449.5200863,1650.0,821.5751,819.15753,1650.0,nan,nan,,,,,,,
1753770449.5239828,1230.5494,807.8755,815.9341,1380.0366,nan,nan,,,,,,,
1753770449.5278795,85.42124,794.9817,813.1135,233.69963,nan,nan,,,,,,,
1753770449.5302620,,,,,,,,,,,353989660.0,301371800.0,1850256.4
1753770449.5317760,0.0,796.99634,810.696,0.0,nan,nan,,,,,,,
1753770449.5356724,1120.1465,814.7253,814.7253,856.63007,nan,nan,,,,,,,
1753770449.5395689,1650.0,824.7985,817.5458,1650.0,nan,nan,,,,,,,
1753770449.5434654,1411.4652,820.3663,812.3077,1486.4103,nan,nan,,,,,,,
1753770449.5458345,,,,,,,,,,,354014660.0,301308930.0,1764029.2
1753770449.5473619,251.02563,803.0403,804.65204,352.56412,nan,nan,,,,,,,
1753770449.5512583,0.0,796.99634,811.50183,0.0,nan,nan,,,,,,,
1753770449.5551550,983.5531,813.91943,816.7399,603.1868,nan,nan,,,,,,,
1753770449.5590515,1650.0,825.2015,824.3956,1650.0,nan,nan,,,,,,,
1753770449.5614073,,,,,,,,,,,353990460.0,301288000.0,1849450.5
1753770449.5629480,1466.6666,816.337,826.4103,1523.8828,nan,nan,,,,,,,
1753770449.5668445,345.7143,805.4579,817.1429,362.23444,nan,nan,,,,,,,
1753770449.5707409,0.0,807.0696,814.7253,0.0,nan,nan,,,,,,,
1753770449.5746374,675.31134,815.5311,809.4872,324.35898,nan,nan,,,,,,,
1753770449.5769799,,,,,,,,,,,354067040.0,301321820.0,1854285.8
1753770449.5785339,1650.0,824.3956,810.293,1536.7766,nan,nan,,,,,,,
1753770449.5824306,1514.6154,815.9341,803.8461,1581.9048,nan,nan,,,,,,,
1753770449.5863271,365.4579,793.7729,802.23444,353.36996,nan,nan,,,,,,,
1753770449.5902236,0.0,792.5641,814.7253,0.0,nan,nan,,,,,,,
1753770449.5925524,,,,,,,,,,,354125060.0,301310560.0,1795457.9
1753770449.5941200,407.36264,800.6227,815.5311,209.12088,nan,nan,,,,,,,
1753770449.5980165,1582.3077,811.50183,812.3077,1412.2711,nan,nan,,,,,,,
1753770449.6019130,1569.414,817.1429,809.4872,1650.0,nan,nan,,,,,,,
1753770449.6058095,368.27838,800.6227,805.8608,447.25275,nan,nan,,,,,,,
1753770449.6081252,,,,,,,,,,,354082340.0,301301700.0,1851868.1
1753770449.6097062,0.0,788.5348,802.23444,0.0,nan,nan,,,,,,,
1753770449.6136026,256.66666,800.2198,811.0989,142.23444,nan,nan,,,,,,,
1753770449.6174991,1459.011,815.5311,815.12823,1300.2565,nan,nan,,,,,,,
1753770449.6213956,1650.0,820.7692,810.696,1650.0,nan,nan,,,,,,,
1753770449.6236978,,,,,,,,,,,354045280.0,301347620.0,1862344.4
1753770449.6252921,452.08792,810.696,818.3516,598.3516,nan,nan,,,,,,,
1753770449.6291885,0.0,797.8022,809.89014,0.0,nan,nan,,,,,,,
1753770449.6330850,174.8718,803.0403,805.05493,136.5934,nan,nan,,,,,,,
1753770449.6369817,1329.6703,818.7546,815.9341,1252.3077,nan,nan,,,,,,,
1753770449.6392703,,,,,,,,,,,354141980.0,301343580.0,1851062.2
